time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
260.000,32.00,20.100,20.302,12.3351,95.2474,95.6990,92.5770,95.0674,12.3332
261.000,32.00,20.100,20.157,12.3298,95.2164,95.6707,92.5487,95.1344,12.3359
262.000,32.00,20.100,20.127,12.3414,95.1854,95.6425,92.5205,95.0078,12.3307
263.000,32.00,20.100,20.077,12.3150,95.1544,95.6142,92.4922,95.1285,12.3341
264.000,32.00,20.100,20.254,12.3225,95.1234,95.5859,92.4639,94.9724,12.3251
265.000,32.00,20.100,20.128,12.3080,95.0924,95.5577,92.4357,94.8848,12.3227
266.000,32.00,20.100,20.224,12.3124,95.0614,95.5295,92.4075,94.7108,12.3145
267.000,32.00,20.100,20.363,12.3385,95.0304,95.5013,92.3793,95.0518,12.3232
268.000,32.00,20.100,20.299,12.3362,94.9994,95.4731,92.3511,95.1009,12.3246
269.000,32.00,20.100,20.354,12.3073,94.9684,95.4449,92.3229,94.7501,12.3112
270.000,32.00,20.100,20.261,12.3304,94.9374,95.4166,92.2946,95.0167,12.3206
271.000,32.00,20.100,20.096,12.3063,94.9064,95.3884,92.2664,94.7608,12.3134
272.000,32.00,20.100,20.318,12.3027,94.8754,95.3601,92.2381,94.8221,12.3117
273.000,32.00,20.100,20.306,12.2990,94.8444,95.3318,92.2098,94.6170,12.3043
274.000,32.00,20.100,20.196,12.2919,94.8135,95.3036,92.1816,94.7224,12.3088
275.000,32.00,20.100,20.321,12.3198,94.7825,95.2754,92.1534,94.7314,12.3068
276.000,32.00,20.100,20.346,12.2883,94.7515,95.2472,92.1252,94.4757,12.2973
277.000,32.00,20.100,20.204,12.3146,94.7205,95.2189,92.0969,94.4733,12.2987
278.000,32.00,20.100,20.137,12.3132,94.6895,95.1907,92.0687,94.4422,12.2983
279.000,32.00,20.100,20.135,12.3005,94.6585,95.1624,92.0404,94.4090,12.2969
280.000,32.00,-28.178,-28.013,12.9643,94.6279,95.1345,92.0125,94.5405,12.9512
281.000,29.09,-26.129,-26.111,12.9487,94.6697,95.1720,92.0500,94.8302,12.9584
282.000,26.18,-23.934,-23.691,12.9482,94.7084,95.2066,92.0846,94.7721,12.9448
283.000,23.27,-21.607,-21.426,12.9570,94.7435,95.2381,92.1161,95.1495,12.9461
284.000,20.36,-19.163,-19.154,12.9164,94.7750,95.2662,92.1442,94.8735,12.9232
285.000,17.45,-16.616,-16.444,12.8998,94.8026,95.2910,92.1690,94.9076,12.9029
286.000,14.55,-13.981,-13.759,12.8973,94.8262,95.3120,92.1900,95.0271,12.8839
287.000,11.64,-11.273,-11.214,12.8411,94.8457,95.3294,92.2074,94.8640,12.8554
288.000,8.73,-8.506,-8.244,12.8304,94.8609,95.3430,92.2210,94.9683,12.8283
289.000,5.82,-5.695,-5.661,12.7962,94.8719,95.3527,92.2307,94.7973,12.7955
290.000,2.91,-2.855,-2.623,12.7666,94.8785,95.3584,92.2364,94.9362,12.7653
291.000,0.00,0.000,0.111,12.7316,94.8807,95.3602,89.3164,94.9448,12.7332
292.000,0.00,0.000,0.057,12.7484,94.8807,95.3602,87.8058,94.9384,12.7373
293.000,0.00,0.000,0.126,12.7269,94.8807,95.3602,87.9353,94.8955,12.7383
294.000,0.00,0.000,0.083,12.7330,94.8807,95.3602,88.3805,94.9885,12.7452
