Time [s],xung,SysTick,Task_SOC.c,Task_Voltage.c,Task_CAN.c,Task_Temperature.c,Channel 6,Channel 7
39.066357000,1,0,0,0,0,0,1,1
39.066357500,0,0,0,0,0,0,1,1
39.067357000,1,0,0,0,0,0,1,1
39.067357500,0,0,0,0,0,0,1,1
39.068357000,1,0,0,0,0,0,1,1
39.068357542,0,0,0,0,0,0,1,1
39.068358208,0,1,0,0,0,0,1,1
39.068358708,0,0,0,0,0,0,1,1
39.068368250,0,0,1,0,0,0,1,1
39.068394208,0,0,0,0,0,0,1,1
39.069357000,1,0,0,0,0,0,1,1
39.069357542,0,0,0,0,0,0,1,1
39.070357042,1,0,0,0,0,0,1,1
39.070357542,0,0,0,0,0,0,1,1
39.071357042,1,0,0,0,0,0,1,1
39.071357542,0,0,0,0,0,0,1,1
39.072357042,1,0,0,0,0,0,1,1
39.072357542,0,0,0,0,0,0,1,1
39.073357042,1,0,0,0,0,0,1,1
39.073357583,0,0,0,0,0,0,1,1
39.073358250,0,1,0,0,0,0,1,1
39.073358750,0,0,0,0,0,0,1,1
39.073368667,0,0,1,0,0,0,1,1
39.073394625,0,0,0,0,0,0,1,1
39.074357042,1,0,0,0,0,0,1,1
39.074357583,0,0,0,0,0,0,1,1
39.075357083,1,0,0,0,0,0,1,1
39.075357583,0,0,0,0,0,0,1,1
39.076357083,1,0,0,0,0,0,1,1
39.076357583,0,0,0,0,0,0,1,1
39.077357083,1,0,0,0,0,0,1,1
39.077357583,0,0,0,0,0,0,1,1
39.078357083,1,0,0,0,0,0,1,1
39.078357625,0,0,0,0,0,0,1,1
39.078358292,0,1,0,0,0,0,1,1
39.078358792,0,0,0,0,0,0,1,1
39.078368458,0,0,1,0,0,0,1,1
39.078394417,0,0,0,0,0,0,1,1
39.079357125,1,0,0,0,0,0,1,1
39.079357625,0,0,0,0,0,0,1,1
39.080357125,1,0,0,0,0,0,1,1
39.080357625,0,0,0,0,0,0,1,1
39.081357125,1,0,0,0,0,0,1,1
39.081357625,0,0,0,0,0,0,1,1
39.082357125,1,0,0,0,0,0,1,1
39.082357625,0,0,0,0,0,0,1,1
39.083357125,1,0,0,0,0,0,1,1
39.083357667,0,0,0,0,0,0,1,1
39.083358333,0,1,0,0,0,0,1,1
39.083358833,0,0,0,0,0,0,1,1
39.083368833,0,0,1,0,0,0,1,1
39.083394792,0,0,0,0,0,0,1,1
39.084357167,1,0,0,0,0,0,1,1
39.084357667,0,0,0,0,0,0,1,1
39.085357167,1,0,0,0,0,0,1,1
39.085357667,0,0,0,0,0,0,1,1
39.086357167,1,0,0,0,0,0,1,1
39.086357667,0,0,0,0,0,0,1,1
39.087357167,1,0,0,0,0,0,1,1
39.087357667,0,0,0,0,0,0,1,1
39.088357167,1,0,0,0,0,0,1,1
39.088357708,0,0,0,0,0,0,1,1
39.088358375,0,1,0,0,0,0,1,1
39.088358875,0,0,0,0,0,0,1,1
39.088368667,0,0,1,0,0,0,1,1
39.088394625,0,0,0,0,0,0,1,1
39.089357208,1,0,0,0,0,0,1,1
39.089357708,0,0,0,0,0,0,1,1
39.090357208,1,0,0,0,0,0,1,1
39.090357708,0,0,0,0,0,0,1,1
39.091357208,1,0,0,0,0,0,1,1
39.091357708,0,0,0,0,0,0,1,1
39.092357208,1,0,0,0,0,0,1,1
39.092357750,0,0,0,0,0,0,1,1
39.093357208,1,0,0,0,0,0,1,1
39.093357750,0,0,0,0,0,0,1,1
39.093358417,0,1,0,0,0,0,1,1
39.093358917,0,0,0,0,0,0,1,1
39.093368458,0,0,1,0,0,0,1,1
39.093394417,0,0,0,0,0,0,1,1
39.094357250,1,0,0,0,0,0,1,1
39.094357750,0,0,0,0,0,0,1,1
39.095357250,1,0,0,0,0,0,1,1
39.095357750,0,0,0,0,0,0,1,1
39.096357250,1,0,0,0,0,0,1,1
39.096357750,0,0,0,0,0,0,1,1
39.097357250,1,0,0,0,0,0,1,1
39.097357792,0,0,0,0,0,0,1,1
39.098357250,1,0,0,0,0,0,1,1
39.098357792,0,0,0,0,0,0,1,1
39.098358458,0,1,0,0,0,0,1,1
39.098358958,0,0,0,0,0,0,1,1
39.098368875,0,0,1,0,0,0,1,1
39.098394833,0,0,0,0,0,0,1,1
39.099357292,1,0,0,0,0,0,1,1
39.099357792,0,0,0,0,0,0,1,1
39.100357292,1,0,0,0,0,0,1,1
39.100357792,0,0,0,0,0,0,1,1
39.101357292,1,0,0,0,0,0,1,1
39.101357792,0,0,0,0,0,0,1,1
39.102357292,1,0,0,0,0,0,1,1
39.102357833,0,0,0,0,0,0,1,1
39.103357292,1,0,0,0,0,0,1,1
39.103357833,0,0,0,0,0,0,1,1
39.103358500,0,1,0,0,0,0,1,1
39.103359000,0,0,0,0,0,0,1,1
39.103369125,0,0,1,0,0,0,1,1
39.103395083,0,0,0,0,0,0,1,1
39.104357333,1,0,0,0,0,0,1,1
39.104357833,0,0,0,0,0,0,1,1
39.105357333,1,0,0,0,0,0,1,1
39.105357833,0,0,0,0,0,0,1,1
39.106357333,1,0,0,0,0,0,1,1
39.106357833,0,0,0,0,0,0,1,1
39.107357333,1,0,0,0,0,0,1,1
39.107357875,0,0,0,0,0,0,1,1
39.108357375,1,0,0,0,0,0,1,1
39.108357875,0,0,0,0,0,0,1,1
39.108358542,0,1,0,0,0,0,1,1
39.108359042,0,0,0,0,0,0,1,1
39.108371042,0,0,1,0,0,0,1,1
39.108397000,0,0,0,0,0,0,1,1
39.108407042,0,0,0,1,0,0,1,1
39.109357375,1,0,0,1,0,0,1,1
39.109357875,0,0,0,1,0,0,1,1
39.110357375,1,0,0,1,0,0,1,1
39.110357875,0,0,0,1,0,0,1,1
39.110717292,0,0,0,0,0,0,1,1
39.111357375,1,0,0,0,0,0,1,1
39.111357875,0,0,0,0,0,0,1,1
39.112357375,1,0,0,0,0,0,1,1
39.112357917,0,0,0,0,0,0,1,1
39.113357417,1,0,0,0,0,0,1,1
39.113357917,0,0,0,0,0,0,1,1
39.113358583,0,1,0,0,0,0,1,1
39.113359083,0,0,0,0,0,0,1,1
39.113369292,0,0,1,0,0,0,1,1
39.113415708,0,0,0,0,0,0,1,1
39.114357417,1,0,0,0,0,0,1,1
39.114357917,0,0,0,0,0,0,1,1
39.115357417,1,0,0,0,0,0,1,1
39.115357917,0,0,0,0,0,0,1,1
39.116357417,1,0,0,0,0,0,1,1
39.116357958,0,0,0,0,0,0,1,1
39.117357417,1,0,0,0,0,0,1,1
39.117357958,0,0,0,0,0,0,1,1
39.118357458,1,0,0,0,0,0,1,1
39.118357958,0,0,0,0,0,0,1,1
39.118358625,0,1,0,0,0,0,1,1
39.118359125,0,0,0,0,0,0,1,1
39.118370750,0,0,1,0,0,0,1,1
39.118396708,0,0,0,0,0,0,1,1
39.118407625,0,0,0,0,0,1,1,1
